,RQ_1_2_PAT_PChg,RQ_1_2_Operating_Profit_PChg,RQ_1_2_Total_Exp_PChg,RQ_1_2_Ebit_PChg,RQ_1_2_Ebitda_PChg,RQ_1_2_Close_PChg,RQ_2_3_PAT_PChg,RQ_2_3_Operating_Profit_PChg,RQ_2_3_Total_Exp_PChg,RQ_2_3_Ebit_PChg,RQ_2_3_Ebitda_PChg,RQ_2_3_Close_PChg,RQ_3_4_PAT_PChg,RQ_3_4_Operating_Profit_PChg,RQ_3_4_Total_Exp_PChg,RQ_3_4_Ebit_PChg,RQ_3_4_Ebitda_PChg,RQ_3_4_Close_PChg,RQ_4_5_PAT_PChg,RQ_4_5_Operating_Profit_PChg,RQ_4_5_Total_Exp_PChg,RQ_4_5_Ebit_PChg,RQ_4_5_Ebitda_PChg,RQ_4_5_Close_PChg
VTL,-8.349050672702125,9.57563008212307,11.950669196451477,-5.133982457552101,-4.465906144672034,-0.1840942562592047,37.35751295336788,18.250095675468813,-12.839498815571886,36.868770306734945,28.964306612053836,-11.360916705950602,-12.01944993162134,9.571233881958271,11.277634556562264,-4.436375118408592,-1.970746097431066,3.122429137686037,-5.499712808730612,-9.822272641331065,-4.877664146093384,-1.2575348160465536,-2.0743058899053186,17.310054395507983
ALOKTEXT,-72.08855864607942,-93.82546349104557,-77.36595496902571,-93.11664213961225,-96.59874562542821,inf,-13.835323426446447,9.495949465444559,11.424007420194258,10.240385971842107,10.609904176724449,-100.0,-17.040295247420357,-39.202406113964976,-49.53583315997503,-38.90233475376829,-39.69063160067972,1.818181818181812,633.6007602882023,561.6700818485975,157.95781969857273,854.5737276003356,594.5996298429897,-6.7796610169491585
MTEDUCARE,-94.2598561864617,-97.80971937029432,-50.670008676371346,-97.71413204249025,-103.1437553586739,-26.495726495726498,-4.487862640615757,-29.94149803395032,-25.790527972528253,-29.32623776489594,-30.423543448001585,inf,20007.14285714286,-1608.9725036179448,223.4150856085146,-1952.6408450704225,-1056.9933396764986,-100.0,-137.16814159292034,-13.299874529485567,-23.93523407250968,-21.97802197802198,-12.562396006655574,-10.677290836653391
HESTERBIO,7.436182019977802,32.37668161434976,-10.74819597417394,38.844621513944226,35.27874564459929,-19.397201291711514,38.61538461538461,-11.578112609040438,36.35422061108234,-13.967437874892893,-11.556240369799692,-12.42458521870287,-26.63656884875846,-16.323822163238226,-17.513882956001716,-18.78914405010438,-17.324840764331203,72.83306954659717,43.59805510534846,40.055762081784394,28.063457330415748,44.56740442655936,38.692579505300344,20.52965269595466
SUNCLAYLTD,-92.85641599674366,-5.762273901808795,4.171687472887647,-61.784359761603746,-45.1271186440678,-9.366273939897226,10030.927835051547,-249.36318023928985,-3.6009664529318837,474.97403946002066,162.22222222222223,-10.986370986370986,-102.39447050111083,44.10456062291435,0.16522002187419532,-128.18261633011414,-271.7352415026834,12.535094104190497,963.2545931758528,-197.93028322440088,21.159918800045112,-1021.024258760108,-183.5575485799701,9.333788085493406
KEI,-35.06860371267152,-14.746634996041177,-14.163205577912155,-14.633354964308879,-13.093697102459428,6.129870129870136,27.01178882624295,19.843434942474207,15.542791784772986,10.850017983455217,9.615804409517574,2.244057894037973,36.9122807017544,10.570491803278692,19.5932082428856,20.499855533082922,18.555900621118017,15.825899723162099,3.749544958136153,-0.7161458333333297,-5.812992760016243,-1.6481955100880883,-1.3782542113323102,39.918226812997645
KEC,-59.42239072256914,-45.336968044828104,-45.04823946565515,-46.527578396656786,-42.53030258127612,-14.0602950609365,75.3103313459095,48.535564853556465,62.69641093890868,53.9863437638159,48.52326246753819,1.6562336984872257,20.05397793945084,12.627311882442369,10.503999857677421,14.429454749859463,12.403522659806052,24.906336536895257,34.92716909436353,23.074524477705022,9.091908886833098,24.973656480505806,21.77370767562358,19.08826382153249
NIACL,89.06715085129184,112.8697178115536,-96.18284637134778,68.63502411144847,68.63502411144847,-55.46748965420496,-45.57413167444272,-54.20420225796835,891.588785046729,-41.76352809631536,-41.76352809631536,18.590916652803195,-17.505713178398175,-14.670456682114297,-143.40770791075053,-15.234138223657384,-15.234138223657384,inf,49.83080034440639,52.6086589585619,-724.0506329113923,51.06971013768876,51.06971013768876,
VINYLINDIA,-67.05882352941175,-47.58522727272727,-14.172709294660512,-47.291196388261845,-47.35062006764374,4.382871536523924,-25.274725274725274,155.07246376811597,0.0659630606860094,94.2982456140351,94.51754385964912,-9.567198177676538,71.69811320754717,-40.0,35.13307016426844,-21.514629948364888,-21.514629948364888,46.33333333333333,149.99999999999997,204.63576158940398,14.742840444184694,80.43478260869563,80.43478260869563,5.263157894736842
VINATIORGA,23.771912926218462,41.225369458128085,17.16898069759566,42.02135439520256,42.7942794279428,4.902775469503075,63.59911755436494,30.337078651685374,8.718061998380092,48.14734561213436,40.87562960092988,-9.555065637839466,8.8507718696398,8.51295449597214,18.35294117647059,4.530011325028313,1.2752599568373526,3.564942141040945,-6.270096463022518,-8.487746563060366,-14.51240408254488,-6.97429414243574,-5.942055729839452,4.671120525772636
