SYMBOL,HIGH,LOW,CLOSE,R1,R2,PIVOT,S1,S2,%,>.6%,TOTTRDQTY,TOTTRDVAL,BUY,SELL
CHAMBLFERT,208.85,199.1,207.45,211.1666667,214.8833333,205.1333333,201.4166667,195.3833333,1.129346766,BUY,1415839,289926499.2,208.45,204.1333333
BERGEPAINT,283,275,276.7,281.4666667,286.2333333,278.2333333,273.4666667,270.2333333,-0.551096202,SKIP,1386815,386163087.6,277.7,277.2333333
GNFC,458,446.3,454.8,459.7666667,464.7333333,453.0333333,448.0666667,441.3333333,0.389963947,SKIP,1322428,599273609.5,455.8,452.0333333
RELINFRA,445.45,436.45,441.35,445.7166667,450.0833333,441.0833333,436.7166667,432.0833333,0.060457208,SKIP,1274058,561298713.3,442.35,440.0833333
JAICORPLTD,161.7,157,159.15,161.5666667,163.9833333,159.2833333,156.8666667,154.5833333,-0.083708277,SKIP,1246423,198813989,160.15,158.2833333
JINDALSAW,125.1,120.05,120.8,123.9166667,127.0333333,121.9833333,118.8666667,116.9333333,-0.970077879,SELL,1200528,145913849.7,121.8,120.9833333
VOLTAS,640,624.5,629.85,638.4,646.95,631.45,622.9,615.95,-0.253385066,SKIP,1157190,729438121,630.85,630.45
ZEEL,590.35,578.6,581.15,588.1333333,595.1166667,583.3666667,576.3833333,571.6166667,-0.379978287,SKIP,1151834,673440898.6,582.15,582.3666667
IGL,297,291.6,295.35,297.7,300.05,294.65,292.3,289.25,0.237569998,SKIP,1133514,333791210.3,296.35,293.65
INDIANB,314,306,311.95,315.3,318.65,310.65,307.3,302.65,0.418477386,SKIP,1118255,346728561.1,312.95,309.65
ASTRAMICRO,104,98.65,101.15,103.8833333,106.6166667,101.2666667,98.53333333,95.91666667,-0.115207373,SKIP,1118132,113458670.6,102.15,100.2666667
RBLBANK,524,514.75,520.35,524.65,528.95,519.7,515.4,510.45,0.125072157,SKIP,1091594,567435535.6,521.35,518.7
UJJIVAN,405.9,394.25,404.4,408.7833333,413.1666667,401.5166667,397.1333333,389.8666667,0.718110498,BUY,1091237,437835550.5,405.4,400.5166667
GPPL,155.5,144.05,148.7,154.7833333,160.8666667,149.4166667,143.3333333,137.9666667,-0.479643056,SKIP,1087835,162934677.1,149.7,148.4166667
MAHINDCIE,251.1,240,247.9,252.6666667,257.4333333,246.3333333,241.5666667,235.2333333,0.635994587,BUY,1069304,263905071,248.9,245.3333333
EXIDEIND,246.5,241.75,243.4,246.0166667,248.6333333,243.8833333,241.2666667,239.1333333,-0.198182191,SKIP,1059535,259148770.7,244.4,242.8833333
THOMASCOOK,294.3,287.3,292.15,295.2,298.25,291.25,288.2,284.25,0.309012876,SKIP,1051770,306692707.6,293.15,290.25
RADICO,423.7,411.25,416.35,422.95,429.55,417.1,410.5,404.65,-0.179812994,SKIP,1023961,426544064.2,417.35,416.1
AMBUJACEM,247.9,241.35,242.5,246.4833333,250.4666667,243.9166667,239.9333333,237.3666667,-0.580799453,SKIP,1013598,247967248.1,243.5,242.9166667
TINPLATE,245,233.2,237.45,243.9,250.35,238.55,232.1,226.75,-0.461119262,SKIP,1010899,240212643.8,238.45,237.55
COFFEEDAY,332,332,332,332,332,332,332,332,0,SKIP,1000000,332000000,333,331
ABCAPITAL,156.95,153.45,156.45,157.7833333,159.1166667,155.6166667,154.2833333,152.1166667,0.535503909,SKIP,997939,154675043.7,157.45,154.6166667
