,RQ_1_2_PAT_PChg,RQ_1_2_Operating_Profit_PChg,RQ_1_2_Total_Exp_PChg,RQ_1_2_Ebit_PChg,RQ_1_2_Ebitda_PChg,RQ_1_2_Close_PChg,RQ_2_3_PAT_PChg,RQ_2_3_Operating_Profit_PChg,RQ_2_3_Total_Exp_PChg,RQ_2_3_Ebit_PChg,RQ_2_3_Ebitda_PChg,RQ_2_3_Close_PChg,RQ_3_4_PAT_PChg,RQ_3_4_Operating_Profit_PChg,RQ_3_4_Total_Exp_PChg,RQ_3_4_Ebit_PChg,RQ_3_4_Ebitda_PChg,RQ_3_4_Close_PChg,RQ_4_5_PAT_PChg,RQ_4_5_Operating_Profit_PChg,RQ_4_5_Total_Exp_PChg,RQ_4_5_Ebit_PChg,RQ_4_5_Ebitda_PChg,RQ_4_5_Close_PChg
UNICHEMLAB,-1017.7777777777776,48.711042708734134,3.8857637386412884,-573.6920777279523,-199.4855967078189,-17.38520855240099,-99.91025237033463,-52.805520246958416,7.894859704001116,-111.17047921188845,-140.19020053752328,-13.819664703217034,5371.475338280227,-176.13714917738145,-39.79875769414542,-188.1383370125092,-161.08094456370753,35.7596883329916,2954.666666666666,-31547.82608695652,14.652616653776755,-2943.0962343096235,893.6010037641155,-9.129867710080127
ADHUNIKIND,-30.971128608923895,-24.762808349146106,23.728813559322035,-27.63419483101392,-25.409836065573774,-4.104979811574694,364.63414634146346,85.56338028169014,4.216524216524222,108.71369294605809,91.28919860627178,0.0,446.66666666666674,11.811023622047234,-2.5232087598190964,13.679245283018869,11.24031007751938,-100.0,114.28571428571426,33.6842105263158,60.058420116840246,40.8637873754153,31.297709923664122,-56.513125309559186
INTENTECH,-682.051282051282,-3188.571428571429,-4.665314401622709,-975.2136752136753,-10354.545454545454,-34.99798630688683,-128.125,-106.12959719789845,4.228329809725143,-122.89628180039136,-101.77419354838709,53.4610630407911,-178.04878048780492,-232.17592592592598,-18.166089965397923,-196.78030303030303,-244.52214452214446,-32.66749895963379,-367.8391959798995,-221.69014084507043,-15.620437956204373,-280.2047781569966,-214.09574468085108,-22.63361236316807
HILTON,-137.83783783783784,20.0,-38.378378378378365,-6.542056074766361,7.6923076923077,-100.0,-364.28571428571433,-15.54054054054054,77.9746835443038,27.380952380952397,-2.0547945205479468,-32.19696969696969,-78.46153846153847,-45.38745387453874,18.122009569378,-61.29032258064516,-47.67025089605735,8.493150684931509,-222.6415094339623,-184.42367601246102,-1.4150943396226532,985.0,248.75,11.791730474732013
HTMEDIA,-92.2422323372254,-51.43658023826209,-0.9395410568963702,-75.05112474437627,-62.952,-14.541120381406438,-52.39306576220086,-22.72911872207933,-5.019240976645433,-12.208258527827649,-11.404068325182507,-17.74509803921568,175.47365689073447,23.034643570952703,12.2597944287204,59.751434034416825,43.530010172939996,8.85805763073639,107.82092772384036,99.53472914589564,-13.742370703501456,76.05193556143303,47.111643220592654,15.965346534653476
MMFL,-32.15199123127512,4.144004144004148,-0.3603827513358917,-11.74829510229386,-1.2628624883068271,23.180049012541453,80.54089709762533,22.338403041825096,33.560165975103736,44.53405017921146,30.28641072516757,-11.374669959969337,9.30064888248018,7.934336525307798,7.044505640934537,2.9995385325334496,2.0205160087037566,81.52442795299937,14.628099173553714,16.819816220535348,10.189898198903677,18.28602620087337,11.623872310895216,5.4966563366498
SBIN,-36.8263461416372,104.98733050723268,-20.028154545627476,-5.52019298679388,25.282277466930967,3.781512605042024,219.41176227150646,-46.152238497605886,31.831100691492967,8.314696028447074,-18.071562368829394,-19.361084220716354,-252.78492618001331,-0.9469218762213104,0.4536418943891231,-5.817502934967954,-8.506419820406599,22.07996848532597,-21.14054638923377,-34.52064669602923,48.85135233503726,3.3622195057619484,-21.256913144049577,-7.235519824593452
WEIZMANIND,-26.92307692307693,-88.57142857142858,60.441527446300704,35.0,15.384615384615385,-35.885885885885884,160.0,-53.64238410596028,-11.78947368421052,110.5263157894737,59.18367346938776,21.42206016408385,-95.95141700404858,-146.74922600619195,-18.34980661796304,-94.94680851063829,-87.99019607843138,39.923469387755105,133.01886792452828,81.46067415730337,8.434296365330841,121.17647058823526,105.0251256281407,-2.244389027431417
IMPAL,-27.82101167315175,-30.587275693311586,5.179843461436991,-20.761494252873565,-20.49469964664311,-7.289582825079293,30.456852791878166,15.117370892018773,-5.6739941932808,18.670076726342703,18.212197159565576,-7.283420040714772,15.373352855051243,100.9433962264151,35.115444967496074,28.05676855895197,27.884615384615397,38.15625,12.335526315789473,-23.85057471264368,-23.645699614890887,3.502824858757068,3.42541436464087,0.1251564455569462
KOHINOOR,-9377.108433734938,-322.5011008366358,30.62271462096819,-369.7269303201507,-307.14585960487597,-17.100868403473612,-52.02312138728325,-8.501208702659142,7.315216118074254,-6.923751095530245,-6.153846153846162,6.92857142857142,-49.41520467836257,-8.917431192660551,-29.32654497288795,-10.015772870662456,-8.285094066570185,-1.4084507042253522,-102.08206501887251,-115.03282396425224,-47.054569362261674,-113.82769901853872,-115.335108743897,-16.075650118203303
AKZOINDIA,-81.7077272345077,3.6480686695278917,2.01900049166548,-1.4186493276193408,-1.306398935526791,2.9057584308904474,187.8615514946146,-29.36540016168148,2.8514102083095474,-34.2690626517727,-29.462457337883958,-2.4449411251635484,113.01881928332044,55.01253132832078,-4.311246390384766,82.56783117574038,63.02684657115037,-5.027180947450163,-6.009207656893637,-4.072126220886542,-1.1861060554647336,-3.8697579270371567,-1.950354609929068,5.390953238391441
