,SYMBOL,SERIES,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,TOTTRDQTY,TOTTRDVAL,TIMESTAMP,TOTALTRADES,ISIN
1322,RAMCOIND,EQ,273.5,273.5,263.0,265.15,264.05,271.4,28560,7599115.7,08-MAY-2018,807,INE614A01028
1323,RAMCOSYS,EQ,455.0,462.3,444.9,459.65,459.0,457.8,85681,38847653.5,08-MAY-2018,1919,INE246B01019
1324,RAMGOPOLY,BE,9.0,9.75,8.85,9.25,9.75,9.3,4025,35971.4,08-MAY-2018,14,INE410D01017
1325,RAMKY,EQ,189.65,189.75,181.6,183.3,183.5,188.4,75949,14028975.7,08-MAY-2018,1960,INE874I01013
1326,RAMSARUP,BE,0.85,0.85,0.85,0.85,0.85,0.9,1,0.85,08-MAY-2018,1,INE005D01015
1327,RANASUG,EQ,4.95,4.95,4.8,4.85,4.85,4.9,213878,1042820.5,08-MAY-2018,210,INE625B01014
1328,RANEENGINE,EQ,502.0,504.4,490.4,494.2,490.4,510.1,2206,1091317.85,08-MAY-2018,96,INE222J01013
1329,RANEHOLDIN,EQ,2496.15,2515.0,2445.05,2500.95,2506.8,2483.65,5498,13671193.55,08-MAY-2018,1017,INE384A01010
1330,RATNAMANI,EQ,969.45,972.8,960.0,961.5,961.0,971.3,1967,1897119.4,08-MAY-2018,153,INE703B01027
1331,RAYMOND,EQ,1142.0,1142.0,1110.0,1116.6,1121.0,1131.1,421715,473807126.1,08-MAY-2018,12886,INE301A01014
1332,RBL,EQ,938.0,944.2,924.0,927.85,928.0,931.15,2762,2578780.9,08-MAY-2018,377,INE244J01017
1333,RBLBANK,EQ,523.95,523.95,514.55,519.15,519.0,524.15,1267882,658101059.55,08-MAY-2018,11721,INE976G01028
1334,RCF,EQ,76.7,77.65,76.2,77.2,77.0,76.7,1127542,86942352.4,08-MAY-2018,5513,INE027A01015
1335,RCOM,EQ,15.5,15.65,15.0,15.15,15.15,15.55,44817230,683864703.2,08-MAY-2018,26760,INE330H01018
1336,RECLTD,EQ,123.95,124.45,122.0,122.4,122.55,123.7,2225678,273694703.25,08-MAY-2018,12807,INE020B01018
1337,RECLTD,N8,1115.59,1115.59,1115.59,1115.59,1115.59,1115.6,100,111559.0,08-MAY-2018,1,INE020B07HR4
1338,RECLTD,N9,1238.9,1239.0,1238.9,1239.0,1239.0,1225.25,225,278765.0,08-MAY-2018,4,INE020B07HS2
1339,REDINGTON,EQ,134.65,136.95,133.0,134.3,133.6,134.65,79275,10644694.75,08-MAY-2018,4789,INE891D01026
1340,REFEX,EQ,14.95,15.4,14.6,14.95,15.4,15.2,8666,129600.7,08-MAY-2018,64,INE056I01017
1341,REGENCERAM,BE,4.1,4.1,3.9,3.9,3.9,4.1,102,398.2,08-MAY-2018,10,INE277C01012
1342,RELAXO,EQ,683.1,692.0,680.0,684.75,681.3,683.6,3237,2216793.4,08-MAY-2018,185,INE131B01039
1343,RELCAPITAL,EQ,422.3,426.7,416.15,421.95,420.75,420.8,2989338,1259627490.05,08-MAY-2018,37890,INE013A01015
1344,RELCNX100,EQ,113.6,113.6,113.6,113.6,113.6,112.16,1,113.6,08-MAY-2018,1,INF204K014N5
1345,RELCONS,EQ,52.25,52.73,52.25,52.59,52.3,52.11,2119,110982.47,08-MAY-2018,20,INF204KA1LD7
1346,RELDIVOPP,EQ,29.4,29.5,29.4,29.5,29.5,29.45,15,441.5,08-MAY-2018,3,INF204KA1MS3
1347,RELIABLE,SM,67.25,67.25,67.25,67.25,67.25,65.95,2000,134500.0,08-MAY-2018,1,INE375Y01018
1348,RELIANCE,EQ,977.5,982.0,965.2,967.1,966.0,971.0,4934036,4797914833.6,08-MAY-2018,104703,INE002A01018
1349,RELIGARE,EQ,55.5,56.0,54.4,54.8,55.0,55.5,393413,21635548.05,08-MAY-2018,1103,INE621H01010
1350,RELINFRA,EQ,448.1,449.45,437.6,440.0,439.4,449.6,2304581,1017886576.85,08-MAY-2018,39093,INE036A01016
1351,RELNV20,EQ,501.2,501.2,501.2,501.2,501.2,492.31,2,1002.4,08-MAY-2018,1,INF204KA17D8
1352,REMSONSIND,EQ,89.0,89.65,86.85,87.25,87.25,87.55,10736,951220.3,08-MAY-2018,130,INE474C01015
1353,RENUKA,EQ,15.55,15.6,15.3,15.45,15.45,15.5,25653454,397514479.6,08-MAY-2018,2899,INE087H01022
1354,REPCOHOME,EQ,590.0,606.6,581.4,589.3,590.0,587.6,219455,130734845.3,08-MAY-2018,6239,INE612J01015
1355,REPRO,EQ,683.0,693.85,670.0,679.5,676.0,679.4,719,489984.95,08-MAY-2018,124,INE461B01014
1356,RESPONIND,EQ,74.2,77.9,74.1,76.6,77.0,74.2,16011,1216617.15,08-MAY-2018,230,INE688D01026
1357,REVATHI,EQ,564.5,569.4,545.05,551.0,557.0,558.45,1152,635777.65,08-MAY-2018,69,INE617A01013
1358,RHFL,EQ,63.15,63.8,62.3,62.65,62.4,63.65,199224,12570350.95,08-MAY-2018,2118,INE217K01011
1359,RHFL,N6,1022.0,1025.0,1022.0,1025.0,1025.0,1021.5,500,512196.47,08-MAY-2018,5,INE217K07AG5
1360,RICOAUTO,EQ,77.95,82.65,77.1,81.85,81.5,77.9,867789,70159502.95,08-MAY-2018,6235,INE209B01025
1361,RIIL,EQ,444.4,453.4,440.55,442.35,441.85,445.75,194140,86743500.1,08-MAY-2018,5598,INE046A01015
1362,RJL,EQ,304.0,311.0,302.6,308.1,308.05,302.5,11847,3646958.1,08-MAY-2018,441,INE722H01016
1363,RKDL,EQ,14.7,15.5,14.7,15.1,15.2,15.3,14778,222025.7,08-MAY-2018,68,INE722J01012
1364,RKEC,SM,131.0,131.0,130.0,130.0,130.0,132.0,15000,1959300.0,08-MAY-2018,4,INE786W01010
1365,RKFORGE,EQ,793.95,810.0,772.0,800.65,808.25,779.6,11655,9214966.0,08-MAY-2018,1022,INE399G01015
1366,RMCL,EQ,28.25,29.3,27.75,28.25,28.15,28.15,666127,19019366.95,08-MAY-2018,2314,INE172H01014
